"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BP_USER";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"C1";"100µF";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C2";"100µF";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C3";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C4";"10µF";"CPOL-EUE2-5";"E2-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C5";"10µF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C6";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C7";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C8";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C9";"100nF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"D1";"B130LB";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";
"IC1";"DSPIC33FJ128MC804-PT";"DSPIC33FJ128MC804-PT";"TQFP44";"dsPIC33FJ32MC302/304, dsPIC33FJ64MCX02/X04, AND dsPIC33FJ128MCX02/X04 High-Performance, 16-bit Digital Signal Controllers";"";"";"";"";
"IC2";"LM1117IMPX-3.3";"LM1117IMPX-3.3";"SOT223";"";"";"";"";"";
"IC3";"FT232RL";"FT232RL";"SSOP28DB";"USB UART";"";"";"";"";
"J1";"CON Jack";"JACK-PLUG1";"SPC4078";"DC POWER JACK";"";"";"unknown";"unknown";
"JP1";"";"JP2E";"JP2";"JUMPER";"";"";"";"";
"JP2";"PICKit";"PINHD-1X6/90";"1X06/90";"PIN HEADER";"";"";"";"";
"JP3";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"JP4";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"JP5";"";"PINHD-1X20";"1X20";"PIN HEADER";"";"";"";"";
"JP6";"";"PINHD-1X20";"1X20";"PIN HEADER";"";"";"";"";
"LED_3V3";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";
"LED_5V";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";
"LED_DEBUG1";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";
"LED_DEBUG2";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";
"P1";"Bornier";"BORNIER_3.5MM";"BORNIER_COUDEE_3.5";"Bornier 3.5mm";"";"";"";"";
"R1";"353";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";
"R2";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";
"R3";"56";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";
"R4";"56";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";
"R5";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";
"REG1";"";"PTH08000W(EUS)";"TRHOUGH_HOLE_(EUS)";"PTH08000H";"";"";"";"";
"RESET";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"RLED1";"56";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";
"RLED2";"56";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";
"RLED3";"56";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";
"RLED4";"56";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";"";"";"";
"RX_LED";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";
"TX_LED";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED";"";"";"";"";
"X1";"PN61729-S";"PN61729-S";"PN61729-S";"BERG USB connector";"";"";"unknown";"unknown";
